date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_2_normalized,smart_3_normalized,smart_5_normalized,smart_7_normalized,smart_8_normalized,smart_9_normalized,smart_10_normalized,smart_192_normalized,smart_193_normalized,smart_194_normalized,smart_196_normalized,smart_197_normalized,smart_199_normalized
2019-01-09,PL1331LAGLXR2H,HGST HMS5C4040BLE640,4000787030016,0,100.0,134.0,140.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,253.0,100.0,100.0,200.0
2019-01-06,PL1331LAGLXRBH,HGST HMS5C4040BLE640,4000787030016,0,100.0,134.0,125.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,240.0,100.0,100.0,200.0
2019-01-13,PL1331LAGLXRHH,HGST HMS5C4040BLE640,4000787030016,0,100.0,134.0,100.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,171.0,100.0,100.0,200.0
2019-01-07,PL1331LAGLXRLH,HGST HMS5C4040BLE640,4000787030016,0,100.0,134.0,130.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,253.0,100.0,100.0,200.0
2019-01-07,PL1331LAGLXRWH,HGST HMS5C4040BLE640,4000787030016,0,100.0,133.0,127.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,200.0,100.0,100.0,200.0
2019-01-13,PL1331LAGLXRYH,HGST HMS5C4040BLE640,4000787030016,0,100.0,134.0,100.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,171.0,100.0,100.0,200.0
2019-01-13,PL1331LAGLXSKH,HGST HMS5C4040BLE640,4000787030016,0,100.0,132.0,100.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,171.0,100.0,100.0,200.0
2019-01-14,PL1331LAGLXTTH,HGST HMS5C4040BLE640,4000787030016,0,100.0,134.0,100.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,222.0,100.0,100.0,200.0
2019-01-09,PL1331LAGLXUHH,HGST HMS5C4040BLE640,4000787030016,0,100.0,133.0,149.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,187.0,100.0,100.0,200.0
2019-01-14,PL1331LAGLXV0H,HGST HMS5C4040BLE640,4000787030016,0,100.0,134.0,127.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,250.0,100.0,100.0,200.0
2019-01-09,PL1331LAGLXV3H,HGST HMS5C4040BLE640,4000787030016,0,100.0,134.0,100.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,187.0,100.0,100.0,200.0
2019-01-14,PL1331LAGLXVGH,HGST HMS5C4040BLE640,4000787030016,0,100.0,135.0,130.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,250.0,100.0,100.0,200.0
2019-01-09,PL1331LAGLXW5H,HGST HMS5C4040BLE640,4000787030016,0,100.0,133.0,152.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,181.0,100.0,100.0,200.0
2019-01-03,PL1331LAGLXX9H,HGST HMS5C4040BLE640,4000787030016,0,100.0,133.0,139.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,187.0,100.0,100.0,200.0
2019-01-12,PL1331LAGLXY0H,HGST HMS5C4040BLE640,4000787030016,0,100.0,135.0,100.0,100.0,100.0,113.0,94.0,100.0,100.0,100.0,176.0,100.0,100.0,200.0
2019-01-13,PL1331LAGLXY7H,HGST HMS5C4040BLE640,4000787030016,0,100.0,134.0,100.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,206.0,100.0,100.0,200.0
2019-01-12,PL1331LAGLXYJH,HGST HMS5C4040BLE640,4000787030016,0,100.0,131.0,131.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,240.0,100.0,100.0,200.0
2019-01-13,PL1331LAGLXYRH,HGST HMS5C4040BLE640,4000787030016,0,100.0,133.0,100.0,100.0,100.0,115.0,95.0,100.0,100.0,100.0,166.0,100.0,100.0,200.0
2019-01-13,PL1331LAGLXYWH,HGST HMS5C4040BLE640,4000787030016,0,100.0,135.0,100.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,181.0,100.0,100.0,200.0
2019-01-09,PL1331LAGLXZDH,HGST HMS5C4040BLE640,4000787030016,0,100.0,135.0,100.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,193.0,100.0,100.0,200.0
2019-01-13,PL1331LAGLXZJH,HGST HMS5C4040BLE640,4000787030016,0,100.0,134.0,100.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,166.0,100.0,100.0,200.0
2019-01-14,PL1331LAGLY42H,HGST HMS5C4040BLE640,4000787030016,0,100.0,133.0,100.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,187.0,100.0,100.0,200.0
2019-01-13,PL1331LAGLY4LH,HGST HMS5C4040BLE640,4000787030016,0,100.0,134.0,136.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,206.0,100.0,100.0,200.0
2019-01-13,PL1331LAGLY4XH,HGST HMS5C4040BLE640,4000787030016,0,100.0,134.0,134.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,187.0,100.0,100.0,200.0
2019-01-03,PL1331LAGLY50H,HGST HMS5C4040BLE640,4000787030016,0,100.0,133.0,139.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,193.0,100.0,100.0,200.0
2019-01-14,PL1331LAGLY8UH,HGST HMS5C4040BLE640,4000787030016,0,100.0,133.0,100.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,200.0,100.0,100.0,200.0
2019-01-09,PL1331LAGLY92H,HGST HMS5C4040BLE640,4000787030016,0,100.0,134.0,100.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,200.0,100.0,100.0,200.0
2019-01-13,PL1331LAGLY9HH,HGST HMS5C4040BLE640,4000787030016,0,100.0,133.0,100.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,162.0,100.0,100.0,200.0
2019-01-12,PL1331LAGLY9NH,HGST HMS5C4040BLE640,4000787030016,0,100.0,133.0,127.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,253.0,100.0,100.0,200.0
2019-01-14,PL1331LAGLYA2H,HGST HMS5C4040BLE640,4000787030016,0,100.0,134.0,100.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,200.0,100.0,100.0,200.0
2019-01-13,PL1331LAGLYA5H,HGST HMS5C4040BLE640,4000787030016,0,100.0,134.0,100.0,100.0,100.0,113.0,94.0,100.0,100.0,100.0,240.0,100.0,100.0,200.0
2019-01-13,PL1331LAGLYASH,HGST HMS5C4040BLE640,4000787030016,0,100.0,133.0,100.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,162.0,100.0,100.0,200.0
2019-01-13,PL1331LAGLYBLH,HGST HMS5C4040BLE640,4000787030016,0,100.0,135.0,100.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,166.0,100.0,100.0,200.0
2019-12-31,PL1331LAGLYD0H,HGST HMS5C4040BLE640,4000787030016,0,100.0,133.0,137.0,100.0,100.0,113.0,94.0,100.0,100.0,100.0,253.0,100.0,100.0,200.0
2019-01-09,PL1331LAGLYD1H,HGST HMS5C4040BLE640,4000787030016,0,100.0,134.0,100.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,181.0,100.0,100.0,200.0
2019-12-31,PL1331LAGLYDNH,HGST HMS5C4040BLE640,4000787030016,0,100.0,135.0,139.0,100.0,100.0,113.0,94.0,100.0,100.0,100.0,250.0,100.0,100.0,200.0
2019-12-31,PL1331LAGLYDVH,HGST HMS5C4040BLE640,4000787030016,0,100.0,135.0,141.0,100.0,100.0,113.0,94.0,100.0,100.0,100.0,250.0,100.0,100.0,200.0
2019-01-07,PL1331LAGLYG2H,HGST HMS5C4040BLE640,4000787030016,0,100.0,134.0,128.0,100.0,100.0,117.0,95.0,100.0,100.0,100.0,253.0,100.0,100.0,200.0
2019-01-12,PL1331LAGLYHAH,HGST HMS5C4040BLE640,4000787030016,0,100.0,135.0,130.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,253.0,100.0,100.0,200.0
2019-01-13,PL1331LAGLYHJH,HGST HMS5C4040BLE640,4000787030016,0,100.0,134.0,100.0,100.0,100.0,113.0,94.0,100.0,100.0,100.0,240.0,100.0,100.0,200.0
2019-01-09,PL1331LAGLYK1H,HGST HMS5C4040BLE640,4000787030016,0,100.0,134.0,141.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,250.0,100.0,100.0,200.0
2019-01-14,PL1331LAGLYKHH,HGST HMS5C4040BLE640,4000787030016,0,100.0,133.0,100.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,250.0,100.0,100.0,200.0
2019-01-14,PL1331LAGLYKNH,HGST HMS5C4040BLE640,4000787030016,0,100.0,136.0,100.0,100.0,100.0,111.0,95.0,100.0,100.0,100.0,250.0,100.0,100.0,200.0
2019-01-14,PL1331LAGLYKPH,HGST HMS5C4040BLE640,4000787030016,0,100.0,132.0,100.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,253.0,100.0,100.0,200.0
2019-01-07,PL1331LAGLYL9H,HGST HMS5C4040BLE640,4000787030016,0,100.0,136.0,129.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,253.0,100.0,100.0,200.0
2019-01-14,PL1331LAGLYNNH,HGST HMS5C4040BLE640,4000787030016,0,100.0,135.0,100.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,253.0,100.0,100.0,200.0
2019-01-13,PL1331LAGLYNWH,HGST HMS5C4040BLE640,4000787030016,0,100.0,135.0,100.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,171.0,100.0,100.0,200.0
2019-01-14,PL1331LAGLYPXH,HGST HMS5C4040BLE640,4000787030016,0,100.0,133.0,100.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,240.0,100.0,100.0,200.0
2019-01-13,PL1331LAGLYR4H,HGST HMS5C4040BLE640,4000787030016,0,100.0,134.0,100.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,166.0,100.0,100.0,200.0
2019-01-03,PL1331LAGLYRDH,HGST HMS5C4040BLE640,4000787030016,0,100.0,133.0,139.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,187.0,100.0,100.0,200.0
2019-01-06,PL1331LAGLYRRH,HGST HMS5C4040BLE640,4000787030016,0,100.0,134.0,125.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,253.0,100.0,100.0,200.0
2019-01-13,PL1331LAGLYRVH,HGST HMS5C4040BLE640,4000787030016,0,100.0,135.0,135.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,193.0,100.0,100.0,200.0
2019-01-14,PL1331LAGLYS0H,HGST HMS5C4040BLE640,4000787030016,0,100.0,133.0,149.0,100.0,100.0,111.0,95.0,100.0,100.0,100.0,166.0,100.0,100.0,200.0
2019-01-13,PL1331LAGLYSKH,HGST HMS5C4040BLE640,4000787030016,0,100.0,133.0,139.0,100.0,100.0,113.0,95.0,100.0,100.0,100.0,200.0,100.0,100.0,200.0
