date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_3_normalized,smart_4_normalized,smart_5_normalized,smart_7_normalized,smart_9_normalized,smart_184_normalized,smart_187_normalized,smart_188_normalized,smart_190_normalized,smart_191_normalized,smart_193_normalized,smart_194_normalized,smart_195_normalized,smart_197_normalized,smart_198_normalized,smart_199_normalized
2019-12-31,ZA10Y7SA,ST8000DM002,8001563222016,0,81.0,85.0,100.0,100.0,95.0,65.0,100.0,100.0,100.0,74.0,100.0,100.0,26.0,1.0,100.0,100.0,200.0
2019-12-31,ZA10Y7SW,ST8000DM002,8001563222016,0,79.0,85.0,100.0,100.0,95.0,66.0,100.0,100.0,100.0,59.0,100.0,100.0,41.0,1.0,100.0,100.0,200.0
2019-12-31,ZA10Y7TF,ST8000DM002,8001563222016,0,80.0,92.0,100.0,100.0,95.0,65.0,100.0,100.0,100.0,74.0,100.0,100.0,26.0,1.0,100.0,100.0,200.0
2019-12-31,ZA10Y7TK,ST8000DM002,8001563222016,0,77.0,84.0,100.0,100.0,95.0,65.0,100.0,100.0,100.0,79.0,100.0,100.0,21.0,1.0,100.0,100.0,200.0
2019-12-31,ZA10Y7TQ,ST8000DM002,8001563222016,0,83.0,84.0,100.0,100.0,95.0,65.0,100.0,100.0,100.0,78.0,100.0,100.0,22.0,1.0,100.0,100.0,200.0
2019-12-31,ZA10Y7TY,ST8000DM002,8001563222016,0,81.0,92.0,100.0,100.0,94.0,65.0,100.0,100.0,100.0,72.0,100.0,100.0,28.0,1.0,100.0,100.0,200.0
2019-12-31,ZA10Y7VN,ST8000DM002,8001563222016,0,69.0,84.0,100.0,100.0,95.0,65.0,100.0,100.0,100.0,78.0,100.0,100.0,22.0,1.0,100.0,100.0,200.0
2019-12-31,ZA10Y7WX,ST8000DM002,8001563222016,0,100.0,92.0,100.0,100.0,94.0,65.0,100.0,100.0,100.0,74.0,100.0,100.0,26.0,100.0,100.0,100.0,200.0
2019-12-31,ZA10Y830,ST8000DM002,8001563222016,0,79.0,84.0,100.0,100.0,95.0,65.0,100.0,100.0,100.0,72.0,100.0,100.0,28.0,1.0,100.0,100.0,200.0
2019-12-31,ZA10Y846,ST8000DM002,8001563222016,0,83.0,85.0,100.0,100.0,94.0,65.0,100.0,100.0,100.0,76.0,100.0,100.0,24.0,1.0,100.0,100.0,200.0
2019-12-31,ZA10Y847,ST8000DM002,8001563222016,0,80.0,92.0,100.0,100.0,95.0,65.0,100.0,100.0,100.0,72.0,100.0,100.0,28.0,1.0,100.0,100.0,200.0
2019-12-31,ZA10Y8HQ,ST8000DM002,8001563222016,0,81.0,84.0,100.0,100.0,95.0,66.0,100.0,100.0,100.0,62.0,100.0,100.0,38.0,1.0,100.0,100.0,200.0
2019-12-31,ZA10Y8HR,ST8000DM002,8001563222016,0,84.0,84.0,100.0,100.0,95.0,65.0,100.0,100.0,100.0,74.0,100.0,100.0,26.0,1.0,100.0,100.0,200.0
2019-12-31,ZA10Y8J7,ST8000DM002,8001563222016,0,77.0,92.0,100.0,100.0,94.0,65.0,100.0,100.0,100.0,72.0,100.0,100.0,28.0,1.0,100.0,100.0,200.0
2019-12-31,ZA10Y8JT,ST8000DM002,8001563222016,0,100.0,85.0,100.0,100.0,95.0,65.0,100.0,100.0,100.0,75.0,100.0,100.0,25.0,100.0,100.0,100.0,200.0
2019-12-31,ZA10Y8JV,ST8000DM002,8001563222016,0,80.0,92.0,100.0,100.0,95.0,65.0,100.0,100.0,100.0,73.0,100.0,100.0,27.0,1.0,100.0,100.0,200.0
