date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_3_normalized,smart_4_normalized,smart_5_normalized,smart_7_normalized,smart_9_normalized,smart_10_normalized,smart_184_normalized,smart_187_normalized,smart_190_normalized,smart_191_normalized,smart_193_normalized,smart_194_normalized,smart_195_normalized,smart_197_normalized,smart_198_normalized
2019-12-31,ZA174K54,ST8000NM0055,8001563222016,0,72.0,96.0,100.0,100.0,93.0,76.0,100.0,100.0,100.0,65.0,92.0,95.0,35.0,72.0,100.0,100.0
2019-10-23,ZA174K5F,ST8000NM0055,8001563222016,1,83.0,89.0,97.0,100.0,94.0,93.0,100.0,100.0,100.0,57.0,96.0,99.0,43.0,83.0,100.0,100.0
2019-12-31,ZA174K5J,ST8000NM0055,8001563222016,0,80.0,95.0,100.0,100.0,93.0,76.0,100.0,100.0,100.0,76.0,93.0,95.0,24.0,80.0,100.0,100.0
2019-12-31,ZA174K5R,ST8000NM0055,8001563222016,0,83.0,98.0,100.0,100.0,93.0,76.0,100.0,100.0,100.0,68.0,93.0,96.0,32.0,83.0,100.0,100.0
2019-12-31,ZA174K6H,ST8000NM0055,8001563222016,0,82.0,89.0,98.0,100.0,93.0,93.0,100.0,100.0,100.0,70.0,90.0,99.0,30.0,82.0,100.0,100.0
2019-12-31,ZA174K77,ST8000NM0055,8001563222016,0,100.0,98.0,100.0,100.0,91.0,76.0,100.0,100.0,100.0,62.0,1.0,97.0,38.0,100.0,100.0,100.0
2019-12-31,ZA174K7D,ST8000NM0055,8001563222016,0,77.0,98.0,100.0,100.0,92.0,76.0,100.0,100.0,100.0,60.0,97.0,96.0,40.0,77.0,100.0,100.0
2019-12-31,ZA174K7T,ST8000NM0055,8001563222016,0,83.0,89.0,99.0,100.0,92.0,95.0,100.0,100.0,100.0,76.0,99.0,99.0,24.0,83.0,100.0,100.0
2019-12-31,ZA174K86,ST8000NM0055,8001563222016,0,82.0,92.0,100.0,100.0,93.0,76.0,100.0,100.0,97.0,63.0,84.0,96.0,37.0,82.0,100.0,100.0
2019-12-31,ZA174K8F,ST8000NM0055,8001563222016,0,81.0,98.0,100.0,100.0,93.0,76.0,100.0,100.0,100.0,67.0,88.0,96.0,33.0,81.0,100.0,100.0
